Atl	Acr	Btl	Bcr	Err	Deg	R	T0	T1	X	T3	T4	Y
13	1	1	1	2	1.303770	0.000000	0.998842	-0.022345	0.000000	0.023168	1.000938	0.000000
13	1	0	1	0	1.295295	0.714881	0.999101	-0.021952	-1094.231715	0.023265	1.000676	42.597943
13	1	12	1	0	1.296577	0.795110	0.999060	-0.022608	48.011778	0.022653	1.000684	-815.656130
12	1	13	1	0	1.284672	0.474455	0.999604	-0.022207	34.460278	0.022620	0.999324	902.882640
13	1	13	1	0	1.286884	1.119943	0.999224	-0.022111	51.310081	0.022814	1.000630	45.727335
12	1	2	1	2	1.287702	0.000000	0.999001	-0.021801	0.000000	0.023123	0.999538	0.000000
12	1	11	1	0	1.283182	0.836520	0.999332	-0.022381	28.416142	0.022398	0.999776	-819.629823
12	1	1	1	0	1.301566	0.712566	0.999222	-0.022441	-1113.805805	0.022974	0.999632	40.722809
12	1	12	1	0	1.294341	1.211869	0.999440	-0.022703	32.787832	0.022459	0.999378	39.517890
12	1	0	1	2	1.293087	0.000000	0.999482	-0.022048	0.000000	0.023071	0.999370	0.000000
11	1	12	1	0	1.326812	0.540217	0.999359	-0.023785	14.996830	0.022502	0.999097	901.987681
11	1	3	1	2	1.325778	0.000000	0.998415	-0.022991	0.000000	0.023272	1.000563	0.000000
11	1	10	1	0	1.311299	1.083758	0.999055	-0.022898	7.746108	0.022870	1.000378	-820.157663
11	1	11	1	0	1.315646	1.444524	0.999251	-0.023463	12.125635	0.022441	0.999496	45.509764
11	1	2	1	0	1.320177	0.667865	0.998920	-0.022883	-1134.874036	0.023166	0.999256	45.876017
10	1	11	1	0	1.300635	0.631320	0.999195	-0.022713	-4.157392	0.022636	0.998183	901.999408
10	1	9	1	0	1.344729	0.980951	0.999467	-0.023740	-9.430457	0.023162	0.998551	-819.243595
10	1	4	1	2	1.356072	0.000000	0.997738	-0.024278	0.000000	0.022985	0.998812	0.000000
10	1	3	1	0	1.310834	0.441597	0.998359	-0.022243	-1153.562556	0.023467	0.999250	46.062712
10	1	10	1	0	1.296377	1.477679	0.998999	-0.022150	-7.934705	0.023066	0.999065	37.630877
9	1	10	1	0	1.300697	0.572875	0.999088	-0.022629	-26.712725	0.022751	0.999560	900.168794
9	1	8	1	0	1.329738	1.588772	0.999366	-0.023495	-31.665144	0.022892	0.998999	-818.754373
9	1	5	1	2	1.309092	0.000000	0.997331	-0.022957	0.000000	0.022654	0.998604	0.000000
9	1	9	1	0	1.349093	1.699949	0.999556	-0.024221	-28.895624	0.022847	0.999046	40.833861
9	1	4	1	0	1.360407	0.479870	0.997827	-0.024758	-1171.112732	0.022670	0.999306	43.691128
8	1	7	1	0	1.314498	1.166804	0.999062	-0.022569	-53.250376	0.023276	0.998859	-820.363056
8	1	9	1	0	1.349357	0.989464	0.999451	-0.024109	-44.388041	0.022981	0.999694	897.292914
8	1	6	1	2	1.296504	0.000000	0.997084	-0.022224	0.000000	0.022943	0.998619	0.000000
8	1	5	1	0	1.309366	0.842705	0.997227	-0.022845	-1193.305056	0.022788	0.999253	39.042385
7	1	8	1	0	1.299204	0.765586	0.999445	-0.022347	-66.987432	0.022997	0.999914	899.013537
7	1	6	1	2	1.265658	0.293324	0.997268	-0.021189	0.000000	0.022913	0.998885	0.000000
8	1	8	1	0	1.330035	2.192225	0.999261	-0.023384	-48.870851	0.023026	0.999648	36.202451
7	1	7	1	0	1.283683	1.612322	0.999245	-0.021533	-69.635346	0.023247	0.999126	41.541752
6	1	8	1	2	1.316123	0.000000	1.000568	-0.022343	0.000000	0.023615	0.999805	0.000000
6	1	7	1	0	1.300590	0.996237	1.000369	-0.021529	1073.045300	0.023864	0.999017	62.869261
6	1	5	1	2	1.295510	0.223437	0.998532	-0.021807	0.000000	0.023376	0.999410	0.000000
5	1	7	1	2	1.328733	0.000000	1.000112	-0.022620	0.000000	0.023740	0.998601	0.000000
6	1	6	1	0	1.282594	1.888866	0.998389	-0.021185	-73.959711	0.023530	0.998776	65.607130
5	1	8	1	0	1.344286	1.212546	1.000311	-0.023435	1094.868243	0.023491	0.999389	57.583904
5	1	4	1	2	1.374914	0.280991	0.998771	-0.024698	0.000000	0.023268	0.999697	0.000000
5	1	5	1	0	1.323615	1.601065	0.998275	-0.022896	-51.844667	0.023252	0.998994	59.190228
5	1	6	1	0	1.310734	1.045093	0.998133	-0.022275	-55.026440	0.023406	0.998361	-795.945899
4	1	9	1	0	1.363314	0.677090	1.000614	-0.024258	1115.342757	0.023342	0.999486	59.951386
4	1	8	1	2	1.344033	0.000000	1.000424	-0.023533	0.000000	0.023388	0.999439	0.000000
4	1	5	1	0	1.323364	1.593492	0.998387	-0.022994	-33.779660	0.023149	0.999044	-796.575784
4	1	3	1	0	1.329430	0.529761	0.999505	-0.022759	-21.165118	0.023648	1.000185	892.574161
3	1	9	1	2	1.338204	0.000000	1.000306	-0.023728	0.000000	0.022976	0.998982	0.000000
3	1	10	1	0	1.289854	0.517414	0.999837	-0.022137	1133.869222	0.022880	0.999497	56.124470
4	1	4	1	0	1.374659	1.612875	0.998883	-0.024796	-29.869165	0.023165	0.999747	63.633702
3	1	4	1	0	1.349535	0.760563	0.998576	-0.024266	-13.462213	0.022799	0.999243	-796.970132
3	1	2	1	0	1.298689	0.359878	0.999703	-0.022122	-11.854457	0.023175	0.998376	906.053480
3	1	3	1	0	1.304301	1.161245	0.999197	-0.022230	-10.771744	0.023281	0.999681	64.517541
2	1	10	1	2	1.293104	0.000000	0.999958	-0.022432	0.000000	0.022713	1.000019	0.000000
2	1	11	1	0	1.297415	0.627034	1.000154	-0.022997	1155.052167	0.022283	0.999137	64.806394
2	1	3	1	0	1.307547	0.923303	0.999317	-0.022525	6.152805	0.023114	1.000204	-790.053349
2	1	1	1	0	1.315799	0.310309	1.000044	-0.023057	7.669073	0.022859	0.998992	861.492495
1	1	11	1	2	1.281492	0.000000	1.000376	-0.022372	0.000000	0.022370	0.999714	0.000000
2	1	2	1	0	1.301968	1.115114	0.999823	-0.022417	7.888010	0.023009	0.998898	63.326783
1	1	12	1	0	1.292618	0.625594	1.000484	-0.022694	1175.991498	0.022430	0.999315	54.786626
1	1	2	1	0	1.286039	0.784130	1.000044	-0.021792	24.606813	0.023096	0.999476	-803.896521
1	1	0	1	0	1.291422	0.507156	1.000525	-0.022039	29.979034	0.023044	0.999308	906.263120
1	1	1	1	0	1.299868	1.251245	1.000266	-0.022432	27.905673	0.022946	0.999569	53.916914
0	1	13	1	0	1.284614	0.639075	1.000292	-0.022499	1195.445823	0.022368	1.000511	65.082077
0	1	12	1	2	1.294274	0.000000	1.000128	-0.022996	0.000000	0.022206	1.000564	0.000000
0	1	1	1	0	1.301491	0.866857	0.999910	-0.022733	45.262374	0.022722	1.000819	-797.717740
0	1	0	1	0	1.292993	1.173589	1.000169	-0.022339	48.740823	0.022819	1.000556	61.272963
