Atl	Acr	Btl	Bcr	Err	Deg	R	T0	T1	X	T3	T4	Y
4	1	3	1	0	0.000000	2.080726	1.000000	0.000000	3.197215	0.000000	1.000000	862.078784
4	1	9	1	0	0.000000	3.173795	1.000000	0.000000	1146.472410	0.000000	1.000000	-4.384835
4	1	5	1	0	0.000000	4.929857	1.000000	0.000000	-3.121910	0.000000	1.000000	-856.346213
3	1	10	1	0	0.000000	2.645222	1.000000	0.000000	1146.358611	0.000000	1.000000	-4.692556
3	1	2	1	0	0.000000	4.376395	1.000000	0.000000	3.044713	0.000000	1.000000	856.715480
5	1	8	1	0	0.000000	3.307704	1.000000	0.000000	1146.453274	0.000000	1.000000	-3.930719
5	1	6	1	0	0.000000	4.123984	1.000000	0.000000	-2.966592	0.000000	1.000000	-862.863432
9	1	10	1	0	0.000000	3.169063	1.000000	0.000000	3.157791	0.000000	1.000000	861.877680
9	1	8	1	0	0.000000	4.566644	1.000000	0.000000	-3.177072	0.000000	1.000000	-856.089759
10	1	11	1	0	0.000000	4.751026	1.000000	0.000000	2.922525	0.000000	1.000000	856.088569
2	1	11	1	0	0.000000	3.940206	1.000000	0.000000	1146.254848	0.000000	1.000000	-5.271639
2	1	1	1	0	0.000000	4.115884	1.000000	0.000000	3.164470	0.000000	1.000000	867.103868
8	1	7	1	0	0.000000	3.724933	1.000000	0.000000	-2.978615	0.000000	1.000000	-863.219340
11	1	12	1	0	0.000000	4.437647	1.000000	0.000000	2.836830	0.000000	1.000000	863.462863
6	1	7	1	0	0.000000	2.761996	1.000000	0.000000	1146.355686	0.000000	1.000000	-4.486158
1	1	12	1	0	0.000000	4.256734	1.000000	0.000000	1145.996762	0.000000	1.000000	-8.881761
1	1	0	1	0	0.000000	3.851815	1.000000	0.000000	3.092341	0.000000	1.000000	851.229398
12	1	13	1	0	0.000000	3.677638	1.000000	0.000000	2.963370	0.000000	1.000000	855.003655
0	1	13	1	0	0.000000	3.934900	1.000000	0.000000	1145.827120	0.000000	1.000000	-5.141543
