Err	Aall	Asam	Adwn
0.1000	97	93	4
0.2000	161	148	13
0.3000	160	131	29
0.4000	118	90	28
0.5000	98	72	26
0.6000	64	34	30
0.7000	50	29	21
0.8000	28	13	15
0.9000	25	10	15
1.0000	18	7	11
1.1000	18	7	11
1.2000	15	4	11
1.3000	6	1	5
1.4000	3	0	3
1.5000	2	1	1
1.6000	6	0	6
1.7000	3	0	3
1.8000	4	2	2
1.9000	2	0	2
2.0000	2	0	2
2.1000	1	0	1
2.2000	1	0	1
2.3000	0	0	0
2.4000	0	0	0
2.5000	0	0	0
2.6000	3	0	3
2.7000	1	0	1
2.8000	0	0	0
2.9000	1	0	1
3.0000	1	0	1
3.1000	0	0	0
3.2000	0	0	0
3.3000	0	0	0
3.4000	0	0	0
3.5000	0	0	0
3.6000	0	0	0
3.7000	0	0	0
3.8000	0	0	0
3.9000	0	0	0
4.0000	0	0	0
4.1000	0	0	0
4.2000	0	0	0
4.3000	0	0	0
4.4000	0	0	0
4.5000	0	0	0
4.6000	0	0	0
4.7000	0	0	0
4.8000	0	0	0
4.9000	0	0	0
5.0000	0	0	0
5.1000	0	0	0
