Atl	Acr	Btl	Bcr	Err	Deg	R	T0	T1	X	T3	T4	Y
4	1	9	1	0	0.000000	2.092308	1.000000	0.000000	1145.744712	0.000000	1.000000	-7.889720
4	1	5	1	0	0.000000	3.810215	1.000000	0.000000	-3.249610	0.000000	1.000000	-859.980603
4	1	3	1	0	0.000000	3.318615	1.000000	0.000000	3.050612	0.000000	1.000000	862.312378
3	1	10	1	0	0.000000	3.776206	1.000000	0.000000	1145.663302	0.000000	1.000000	-8.597393
3	1	2	1	0	0.000000	5.298290	1.000000	0.000000	3.015952	0.000000	1.000000	856.543495
5	1	8	1	0	0.000000	3.873762	1.000000	0.000000	1145.821424	0.000000	1.000000	-5.693828
5	1	6	1	0	0.000000	3.314140	1.000000	0.000000	-2.922401	0.000000	1.000000	-858.741688
9	1	10	1	0	0.000000	2.762902	1.000000	0.000000	3.006838	0.000000	1.000000	861.609698
9	1	8	1	0	0.000000	4.147153	1.000000	0.000000	-3.088241	0.000000	1.000000	-857.536092
10	1	11	1	0	0.000000	4.207905	1.000000	0.000000	3.232127	0.000000	1.000000	859.833144
2	1	11	1	0	0.000000	4.305544	1.000000	0.000000	1145.917685	0.000000	1.000000	-5.023627
2	1	1	1	0	0.000000	5.191293	1.000000	0.000000	3.155681	0.000000	1.000000	858.273532
8	1	7	1	0	0.000000	5.072402	1.000000	0.000000	-2.910553	0.000000	1.000000	-857.332939
11	1	12	1	0	0.000000	5.017176	1.000000	0.000000	2.984265	0.000000	1.000000	858.251855
6	1	7	1	0	0.000000	2.936058	1.000000	0.000000	1145.841542	0.000000	1.000000	-4.298717
1	1	12	1	0	0.000000	3.858213	1.000000	0.000000	1145.781111	0.000000	1.000000	-5.038649
1	1	0	1	0	0.000000	4.428564	1.000000	0.000000	3.019310	0.000000	1.000000	859.784717
12	1	13	1	0	0.000000	4.011788	1.000000	0.000000	3.089633	0.000000	1.000000	859.931370
0	1	13	1	0	0.000000	4.220271	1.000000	0.000000	1145.744177	0.000000	1.000000	-4.898791
